OID_,bouguer,X,Y,mag,bedmachine,roughness,beta,water,reflectivity
278,-3,-467103.580122487386689,-945711.359727878589183,,,,,,
279,-5,-457125.594050201121718,-945711.359727878589183,,,,,,
280,-8,-447147.607977914856747,-945711.359727878589183,,,,,,
281,-9,-437169.621905628591776,-945711.359727878589183,,,,,,
282,-8,-427191.635833342093974,-945711.359727878589183,,,,,,
283,-7,-417213.649761055829003,-945711.359727878589183,,,,,,
284,-5,-407235.663688769564033,-945711.359727878589183,,,,,,
285,-3,-397257.677616483299062,-945711.359727878589183,,,,,,
286,0,-387279.691544197034091,-945711.359727878589183,,,,,,
287,2,-377301.705471910769120,-945711.359727878589183,,,,,,
288,4,-367323.719399624504149,-945711.359727878589183,,,,,,
289,7,-357345.733327338239178,-945711.359727878589183,,,,,,
290,8,-347367.747255051974207,-945711.359727878589183,,,,,,
291,9,-337389.761182765709236,-945711.359727878589183,,,,,,
292,9,-327411.775110479444265,-945711.359727878589183,,,,,,
293,9,-317433.789038193179294,-945711.359727878589183,,,,,,
294,9,-307455.802965906914324,-945711.359727878589183,,,,,,
295,7,-297477.816893620649353,-945711.359727878589183,,,,,,
296,5,-287499.830821334384382,-945711.359727878589183,,,,,,
297,2,-277521.844749048119411,-945711.359727878589183,,,,,,
298,-6,-596817.399062208831310,-955689.345800164854154,,,,,0.0031689,
299,-7,-586839.412989922566339,-955689.345800164854154,,,,,0.0000000,
300,-14,-576861.426917636301368,-955689.345800164854154,,,,,,
301,13,-566883.440845350036398,-955689.345800164854154,,,,,,
302,11,-556905.454773063771427,-955689.345800164854154,,,,,,
303,11,-546927.468700777506456,-955689.345800164854154,,,,,,
304,10,-536949.482628491241485,-955689.345800164854154,,,,,,
305,5,-526971.496556204976514,-955689.345800164854154,,,,,,
306,2,-516993.510483918711543,-955689.345800164854154,,,,,,
307,0,-507015.524411632446572,-955689.345800164854154,,,,,,
308,0,-497037.538339346181601,-955689.345800164854154,,,,,,
309,0,-487059.552267059916630,-955689.345800164854154,,,,,,
310,-1,-477081.566194773651659,-955689.345800164854154,,,,,,
311,-3,-467103.580122487386689,-955689.345800164854154,,,,,,
312,-4,-457125.594050201121718,-955689.345800164854154,,,,,,
